Sequence,Mean Δt (frames),#Matching Points,Δt Values
W037_034_0_0_condition_W015.npy,2.40,5,0;3;3;1;5
W037_034_0_0_condition_W016.npy,2.60,5,0;3;3;1;6
W037_034_0_0_condition_W018.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W019.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W021.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_W023.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W024.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_W025.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W026.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W028.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W029.npy,3.00,5,0;3;3;3;6
W037_035_0_0_condition_M003.npy,2.00,1,2
W037_035_0_0_condition_M005.npy,2.00,1,2
W037_035_0_0_condition_M007.npy,2.00,1,2
W037_035_0_0_condition_M009.npy,2.00,1,2
W037_035_0_0_condition_M011.npy,2.00,1,2
W037_035_0_0_condition_M012.npy,2.00,1,2
W037_035_0_0_condition_M013.npy,2.00,1,2
W037_035_0_0_condition_M019.npy,2.00,1,2
W037_035_0_0_condition_M022.npy,2.00,1,2
W037_035_0_0_condition_M023.npy,2.00,1,2
W037_035_0_0_condition_M024.npy,3.00,2,2;4
W037_035_0_0_condition_M025.npy,2.00,1,2
W037_035_0_0_condition_M026.npy,1.50,2,1;2
W037_035_0_0_condition_M027.npy,2.00,1,2
W037_035_0_0_condition_M028.npy,2.00,1,2
W037_035_0_0_condition_M029.npy,2.00,1,2
W037_035_0_0_condition_M030.npy,2.00,1,2
W037_035_0_0_condition_M031.npy,2.00,1,2
W037_035_0_0_condition_W009.npy,2.00,1,2
W037_035_0_0_condition_W011.npy,2.00,1,2
W037_035_0_0_condition_W014.npy,2.00,1,2
W037_035_0_0_condition_W015.npy,2.00,1,2
W037_035_0_0_condition_W016.npy,2.00,1,2
W037_035_0_0_condition_W018.npy,2.00,1,2
W037_035_0_0_condition_W019.npy,2.00,1,2
W037_035_0_0_condition_W021.npy,2.00,1,2
W037_035_0_0_condition_W023.npy,2.00,1,2
W037_035_0_0_condition_W024.npy,2.00,1,2
W037_035_0_0_condition_W025.npy,2.00,1,2
W037_035_0_0_condition_W026.npy,2.00,1,2
